id_localisation|pk_person|person|geographical_place|GP_type|lat|lon|localisation_type|begin|at_some_time|end|occours_before|occours_after|tag|original_begin|original_at_some_time|original_end|sequence
1646978|1646505|Giovanni Michele di Beltrandi Antibo (mariner)|S. Giovanni in Bragora (743286)|Parrocchia|45.434465|12.346949|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1647030|1646649|Matteo di Francesco (da Vigonza, fachin)|S. Giovanni  Novo (743300)|Parrocchia|45.438769|12.333914|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1647085|1646662|Tommaso di Francesco Fortuna (da Treviso, sartor)|S. Giovanni  Novo (743300)|Parrocchia|45.438769|12.333914|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1647098|1646681|Francesco di Girolamo Boni (da Tolmezzo, marangon)|S. Giovanni  Novo (743300)|Parrocchia|45.438769|12.333914|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1647412|1647145|Enea di Tullio Barati (da Parma, specier)|S. Gregorio  (742997)|Parrocchia|45.430653|12.333784|Abitazione|1603.0|1603.0|1603.0|||||1603.0||2
1647459|1647163|Baldo di Nicola Raimondi (grigione, sartor)|S. Zulian (743314)|Parrocchia|45.43581|12.33864|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1647492|1647181|Angelo di Ercole Ceruti (da Parma, specier)|S. Trinità (753849)|Parrocchia|45.430454|12.334642|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1647540|1647424|Francesco di Bernardino Caratteri (da Vicenza, laner)|S. Pantalon  (743139)|Parrocchia|45.43572|12.32474|Abitazione|1600.0|1600.0|1600.0|||||1600.0||0
1647609|1647468|Battista di Giorgio Berlia (da Venezia, petenador da lana)|S. Agnese (742832)|Parrocchia|45.42979|12.32818|Abitazione|1600.0|1600.0|1600.0|||||1600.0||0
1647682|1647504|Antonio di Felice Serpi (vicentino, cimolin)|S. Croce (742475)|Parrocchia|45.438927|12.320719|Abitazione|1600.0|1600.0|1600.0|||||1600.0||0
